0,1
Falmouth Community Association,https://www.facebook.com/falmouthhall/
Association Régionale de la Communauté francophone de Saint-Jean inc,https://www.arcf.ca/
Coopérative Carrefour Santé Communautaire Inkerman Ltd,https://ici.radio-canada.ca/nouvelle/1739586/inkerman-caisse-uni-fermee-carrefour-sante
Community Association of Virginia Park Inc.,https://mycharityfund.ca/charity/68053/community-association-of-virginia-park-inc
Les Amis du Village Historique Acadien Inc.,https://www.villagehistoriqueacadien.com/
Woodstock First Nation,https://m.facebook.com/profile.php?id=195060167206151
Town of St. Stephen,https://town.ststephen.nb.ca/
Wearwell Garments Limited,https://wearwellgarments.com/
Maritime Madness Inc.,
Ocean Delight Properties Limited,https://oceandelightcottages.net/ODC2/
The Royal St. John's Regatta Committee Inc.,https://stjohnsregatta.ca/
Fonemed North America Inc.,https://www.fonemed.com/
Whale Back Nordic Ski Club,https://whalebacknordic.com/
Premium Seafoods Limited,http://www.premiumseafoods.ns.ca/
East Coast Trail Association Inc.,https://www.eastcoasttrail.com/en/index.aspx
HYKE Technologies Inc.,https://hykeup.com/
Made with Local Snack Foods Inc.,https://www.madewithlocal.com/
MacKinnon's Lobster Pound Ltd.,https://princeedwardislandseafood.com/mackinnons-lobster-pound/
Marco Page,https://www.facebook.com/marco.page.18/
Melior Motus Inc.,
Village de Bas-Caraquet Inc.,https://www.bascaraquet.com/
Poley Mountain Resorts Ltd.,https://www.poleymountain.com/
Camp Bretondean Incorporated,https://my.charitableimpact.com/charities/camp-bretondean-incorporated
Municipality of the District of Guysborough,https://modg.ca/
Ville de Bouctouche,https://fr-ca.facebook.com/VilleDeBouctouche/
Storybook Adventures and Natures Retreat Inc.,https://www.storybookadventures.ca/
La Coopérative des Arcadiens Limitée,https://fr-fr.facebook.com/CoopArcadiens/
Shoreline Adventure Center Inc.,https://www.shorelineadventurecenter.com/
Louisbourg Seafoods Limited,https://louisbourgseafoods.ca/
Vélo Restigouche Cycling Inc.,https://velo.nb.ca/clubs/
Global Spatial Technology Solutions Inc.,https://gsts.ca/
Indigenous Tourism Association of New Brunswick / Association du tourisme indigè,https://www.itanb.ca/
Indigenous Tourism Association of New Brunswick / Association du tourisme indigè,https://www.itanb.ca/
D.F. Barnes Services Limited,https://www.dfbarnes.com/
Town of Burgeo,https://townofburgeo.com/
Mi'kmaw Native Friendship Society,https://mymnfc.com/
EduNova Co-operative Limited,https://studynovascotia.ca/about-edunova/
AMP Society,http://ampheroes.ca/
Atlantic Provinces Harness Racing Commission,https://atlanticphrc.ca/
G & L Investments Ltd.,https://www.dnb.com/business-directory/company-profiles.g__l_investments_inc.0a277fb39bebc1d5abdefacf401f74bb.html
Nova Scotia Business Incorporated,https://www.novascotiabusiness.com/
Funn Food Factory Inc.,https://ca.linkedin.com/company/funn-food-factory-inc
Nova Agri Inc.,https://mycountrymagic.com/
Howell Ventures Ltd.,https://www.suregrip-handcontrols.com/
City of Miramichi,https://www.miramichi.org/
Ashored Inc.,https://ashored.ca/
Nova Scotia Association of Community Business Development Corporations,https://www.cbdc.ca/en/nova-scotia-association-of-cbdcs
Fromagerie de la République Inc.,https://www.cfai.fm/nouvelles/une-fromagerie-va-voir-le-jour-au-nord-ouest/
Eastern Charlotte Waterways Inc.,
Vince Ryan Memorial Hockey Tournament Society,
