,Original Name,Search Name,url Company Name,url,url Logo
0,Placentia Area Chamber of Commerce|Placentia Area Chamber of Commerce,placentia,Placentia-Yorba Linda Unified School District,pylusd.org,https://logo.clearbit.com/pylusd.org
1,Placentia Area Chamber of Commerce|Placentia Area Chamber of Commerce,placentia,Placentia Library,placentialibrary.org,https://logo.clearbit.com/placentialibrary.org
2,Placentia Area Chamber of Commerce|Placentia Area Chamber of Commerce,placentia,Placentia Movers,placentiamoversmoving.com,https://logo.clearbit.com/placentiamoversmoving.com
3,Placentia Area Chamber of Commerce|Placentia Area Chamber of Commerce,placentia,Placentia Chiropractic Center,bestocchiropractor.com,https://logo.clearbit.com/bestocchiropractor.com
4,Placentia Area Chamber of Commerce|Placentia Area Chamber of Commerce,placentia,"Placentia PONY Baseball,",placentiapony.com,https://logo.clearbit.com/placentiapony.com
5,Humber Economic Development Board Inc.|Humber Economic Development Board Inc.,humber,Humber College,humber.ca,https://logo.clearbit.com/humber.ca
6,Humber Economic Development Board Inc.|Humber Economic Development Board Inc.,humber,Humber River Hospital,hrh.ca,https://logo.clearbit.com/hrh.ca
7,Humber Economic Development Board Inc.|Humber Economic Development Board Inc.,humber,Humberside Police,humberside.police.uk,https://logo.clearbit.com/humberside.police.uk
8,Humber Economic Development Board Inc.|Humber Economic Development Board Inc.,humber,Humber Cinemas,humbercinemas.com,https://logo.clearbit.com/humbercinemas.com
9,Humber Economic Development Board Inc.|Humber Economic Development Board Inc.,humber,HUMBER,humber.com.ar,https://logo.clearbit.com/humber.com.ar
10,Gander and Area Chamber of Commerce Inc.|Gander and Area Chamber of Commerce Inc.,gander area chamber,Gander and Area Chamber of Commerce,ganderareachamber.ca,https://logo.clearbit.com/ganderareachamber.ca
11,Trade Centre Limited|Trade Centre Limited,trade centre,The Trade Centre UK,tradecentreuk.com,https://logo.clearbit.com/tradecentreuk.com
12,Trade Centre Limited|Trade Centre Limited,trade centre,Trade Centre,tradecentre.in,https://logo.clearbit.com/tradecentre.in
13,Trade Centre Limited|Trade Centre Limited,trade centre,Trade Centre PK,tradecentre.pk,https://logo.clearbit.com/tradecentre.pk
14,Trade Centre Limited|Trade Centre Limited,trade centre,TradeCentre,tradecentre.de,https://logo.clearbit.com/tradecentre.de
15,Érablière de la Montagne Verte Inc.|Érablière de la Montagne Verte Inc.,érablière de la,Érablière de la côte,cabaneasucre.org,https://logo.clearbit.com/cabaneasucre.org
